,,,,
,X,,,y
Quarter Year,Quarter Number,Revenue_last_calendar_qtr,Revenue_last_year_qtr,Revenue_this_quarter
Q4 2020,4,"$1,469,769.00","$1,381,381.00","$1,476,952.00"
Q3 2020,3,"$1,311,345.00","$1,380,058.00","$1,469,769.00"
Q2 2020,2,"$1,363,543.00","$1,361,913.00","$1,311,345.00"
Q1 2020,1,"$1,381,381.00","$1,338,405.00","$1,363,543.00"
,,,,
Q4 2019,4,"$1,380,058.00","$1,345,243.00","$1,386,158.00"
Q3 2019,3,"$1,361,913.00","$1,339,375.00","$1,380,058.00"
Q2 2019,2,"$1,338,405.00","$1,328,094.00","$1,361,913.00"
Q1 2019,1,"$1,335,623.00","$1,308,087.00","$1,338,405.00"
,,,,
Q4 2018,4,"$1,339,375.00","$1,304,289.00","$1,345,243.00"
Q3 2018,3,"$1,328,094.00","$1,269,763.00","$1,339,375.00"
Q2 2018,2,"$1,308,087.00","$1,254,819.00","$1,328,094.00"
Q1 2018,1,"$1,304,547.00","$1,251,161.00","$1,308,087.00"
